"gene_id"	"cons100way"	"rank"	"Gene"	"BF_hct116"	"BF_hela"	"BF_gbm"	"BF_rpe1"	"BF_dld1"	"BF_a375_GeCKo"	"BF_hct116_shRNA"	"numTKOHits"	"gene_type"
"558"	1	17037	"AXL"	-107.167	-59.196	-30.775	-29.774	-17.225	-7.968	NA	0	"nonfitness"
"55844"	1	17037	"PPP2R2D"	-63.958	-28.028	-5.061	-13.538	-13.976	NA	-1.597	0	"nonfitness"
"56165"	1	17037	"TDRD1"	-80.273	-54.273	-28.925	-31.033	-14.515	-3.168	NA	0	"nonfitness"
"56521"	1	17037	"DNAJC12"	-15.783	8.571	15.495	17.281	-9.154	-4.329	-15.607	2	"fitness"
"5654"	1	17037	"HTRA1"	-77.176	-68.276	-31.485	-40.616	-13.549	-3.692	-13.473	0	"nonfitness"
"56624"	1	17037	"ASAH2"	-55.737	-47.185	-30.218	-20.974	-14.017	-10.433	-12.943	0	"nonfitness"
"56647"	1	17037	"BCCIP"	-56.284	-13.833	16.862	8.511	13.666	6.176	-15.612	3	"core"
"56889"	1	17037	"TM9SF3"	-87.151	17.122	-15.498	-37.718	-13.258	11.656	-3.766	1	"fitness"
"57215"	1	17037	"THAP11"	-26.228	92.73	14.512	75.321	8.287	NA	NA	4	"core"
"57655"	1	17037	"GRAMD1A"	-87.833	-75.072	-35.616	-47.3	-6.422	-10.643	-35.545	0	"nonfitness"
"6338"	1	17037	"SCNN1B"	-130.1	-77.892	-34.919	-34.184	-19.792	-6.601	-14.647	0	"nonfitness"
"6367"	1	17037	"CCL22"	-142.463	-65.707	-33.363	-28.072	-6.4	-7.954	-11.44	0	"nonfitness"
"63922"	1	17037	"CHTF18"	67.25	-32.942	-16.985	-5.077	-4.474	-7.149	-6.881	1	"fitness"
"64127"	1	17037	"NOD2"	-54.535	-22.542	-27.374	-34.333	-5.994	1.247	-34.362	0	"nonfitness"
"6755"	1	17037	"SSTR5"	-38.218	-62.559	-25.403	-12.307	-18.14	-8.78	-23.666	0	"nonfitness"
"54429"	0.998969072164948	17036	"TAS2R5"	-29.455	-28.766	-19.771	-40.124	-11.27	NA	-4.097	0	"nonfitness"
"158219"	0.998837209302326	17035	"TTC39B"	-109.697	-51.18	-30.555	-32.285	-16.483	-19.596	-5.743	0	"nonfitness"
"51076"	0.998765432098766	17034	"CUTC"	-8.589	-40.07	4.961	-46.076	-10.585	-10.064	-14.596	1	"fitness"
"6210"	0.998630136986301	17033	"RPS15A"	37.872	12.242	16.111	20.713	10.356	31.304	57.109	4	"core"
"54541"	0.998529411764706	17032	"DDIT4"	-80.793	-13.664	24.714	-17.024	-8.344	-3.093	-9.76	1	"fitness"
"10498"	0.997297297297297	17031	"CARM1"	-69.882	-37.247	0.915	-28.236	-1.911	4.967	13.818	0	"nonfitness"
"55760"	0.997183098591549	17030	"DHX32"	-67.502	-65.044	-6.343	-25.648	-16.783	-7.053	NA	0	"nonfitness"
"399823"	0.99620253164557	17029	"FOXI2"	-44.435	-92.958	-31.399	-23.812	-17.827	-7.638	-1.824	0	"nonfitness"
"414157"	0.994545454545455	17028	"C10orf62"	-71.108	-5.605	-37.285	-25.177	-17.764	-8.512	NA	0	"nonfitness"
"6345"	0.994520547945206	17027	"SRL"	-8.078	-26.988	-29.22	3.075	-2.098	-7.571	NA	0	"nonfitness"
"158399"	0.993684210526316	17026	"ZNF483"	-65.14	-38.036	-13.787	-4.076	-7.741	-4.834	11.978	0	"nonfitness"
"6693"	0.99277108433735	17025	"SPN"	14.037	16.237	-26.353	-1.203	-8.252	-4.66	NA	2	"fitness"
"92799"	0.992753623188406	17024	"SHKBP1"	-129.573	-71.16	-30.216	-52.257	-11.701	-10.526	-28.813	0	"nonfitness"
"10297"	0.991666666666667	17023	"APC2"	-53.965	-79.086	-16.427	-18.21	-7.515	-12.219	-7.976	0	"nonfitness"
"342933"	0.991011235955056	17022	"ZSCAN5B"	-26.115	-25.983	-3.87	4.566	-4.995	-10.214	NA	0	"nonfitness"
"138046"	0.991	17021	"RALYL"	-84.958	-55.763	-37.658	-35.111	-22.157	-6.742	-0.561	0	"nonfitness"
"10270"	0.990816326530612	17020	"AKAP8"	-91.63	-60.559	-18.9	-39.814	-7.301	-1.811	-7.559	0	"nonfitness"
"55506"	0.990625	17019	"H2AFY2"	-135.624	-89.433	-27.088	-51.325	-21.964	-5.883	-26.488	0	"nonfitness"
"29999"	0.990441176470588	17018	"FSCN3"	-42.812	6.369	0.997	-23.084	0.358	-5.277	-37.011	0	"nonfitness"
"6236"	0.990361445783133	17017	"RRAD"	-74.599	-69.549	-26.863	-26.379	-11.333	-1.374	-23.123	0	"nonfitness"
"57338"	0.990322580645161	17016	"JPH3"	-45.593	-40.444	-18.543	19.865	-17.233	-7.603	-19.649	1	"fitness"
"51703"	0.990243902439024	17015	"ACSL5"	-99.395	-79.34	-36.972	-45.759	-24.692	-8.475	-42.394	0	"nonfitness"
"55753"	0.990217391304348	17014	"OGDHL"	-92.139	-75.009	-23.032	-50.267	-13.003	0.991	-30.68	0	"nonfitness"
"56681"	0.990123456790123	17013	"SAR1A"	-17.66	-17.394	NA	NA	NA	-5.969	-28.994	0	"nonfitness"
"286075"	0.99	17012	"ZNF707"	-89.996	-4.04	-10.924	-20.5	-13.527	-6.331	-29.308	0	"nonfitness"
"51013"	0.989230769230769	17011	"EXOSC1"	19.553	-5.134	10.474	26.615	9.625	18.927	-14.891	4	"core"
"341"	0.98875	17010	"APOC1"	-13.197	-5.162	-0.236	-9.955	-3.254	-2.941	NA	0	"nonfitness"
"1050"	0.988461538461539	17009	"CEBPA"	-35.881	-32.885	-22.106	-16.813	-18.258	-7.172	-14.092	0	"nonfitness"
"55680"	0.988372093023256	17008	"RUFY2"	-109.596	-34.325	-21.857	-3.166	-3.721	-5.42	-18.73	0	"nonfitness"
"10212"	0.988157894736842	17007	"DDX39A"	-70.777	-8.304	-22.823	-35.098	-12.564	1.863	-13.645	0	"nonfitness"
"4601"	0.988095238095238	17006	"MXI1"	-46.356	-55.668	-11.572	-3.94	-16.309	0.714	-18.354	0	"nonfitness"
"5239"	0.988059701492537	17005	"PGM5"	-89.516	-54.943	-25.462	-33.378	-14.505	-11.028	-42.415	0	"nonfitness"
"414152"	0.987654320987654	17004	"C10orf105"	-60.444	-40.186	-8.129	-6.578	-6.445	0.212	NA	0	"nonfitness"
"1032"	0.986585365853659	17003	"CDKN2D"	-48.298	-34.203	-29.232	-48.876	-17.908	-7.284	-11.857	0	"nonfitness"
"58509"	0.986486486486487	17002	"CACTIN"	2.125	14.382	-15.963	25.913	17.388	-11.331	NA	3	"core"
"54461"	0.986363636363636	17001	"FBXW5"	-92.967	-29.503	-14.575	-18.64	-15.576	-6.61	-8.767	0	"nonfitness"
"6948"	0.985569620253165	17000	"TCN2"	-123.34	-32.574	-15.776	-19.172	-7.284	-50.256	-16.097	0	"nonfitness"
"3817"	0.985365853658537	16999	"KLK2"	-57.901	-16.522	-10.108	-30.397	-3.129	-4.605	-24.706	0	"nonfitness"
"4714"	0.985294117647059	16998	"NDUFB8"	90.789	-15.681	20.257	22.801	13.307	-3.684	-38.47	4	"core"
"10226"	0.985	16997	"PLIN3"	-56.729	-39.138	-26.713	-48.779	-0.995	-3.075	-21.836	0	"nonfitness"
"93233"	0.984931506849315	16996	"CCDC114"	-59.412	-65.76	-24.626	-49.045	-10.854	-3.264	18.102	0	"nonfitness"
"23526"	0.9848	16995	"HMHA1"	-38.61	-70.797	-26.217	-50.993	-17.503	-11.328	4.535	0	"nonfitness"
"54566"	0.982758620689655	16994	"EPB41L4B"	-79.904	-76.838	-31.068	-54.986	-13.314	-10.818	-39.987	0	"nonfitness"
"4942"	0.981395348837209	16993	"OAT"	-49.37	-36.738	-2.949	-14.053	-3.635	-15.952	-25.781	0	"nonfitness"
"5244"	0.981052631578947	16992	"ABCB4"	-125.826	-26.635	-17.697	-52.078	-19.736	-7.419	-23.722	0	"nonfitness"
"54462"	0.98	16991	"CCSER2"	-102.53	-58.963	-28.651	18.92	-18.79	NA	-22.587	1	"fitness"
"55719"	0.977528089887641	16990	"FAM178A"	43.961	46.849	-16.727	-42.524	-1.641	-4.232	-12.35	2	"fitness"
"10567"	0.976923076923077	16989	"RABAC1"	-68.444	-49.46	-26.739	1.074	-4.867	-7.34	NA	0	"nonfitness"
"374918"	0.975	16988	"IGFL1"	11.86	-10.852	-10.838	-29.375	-4.194	-10.779	NA	1	"fitness"
"6636"	0.97408	16987	"SNRPF"	40.707	22.264	23.348	26.589	5.724	NA	16.32	5	"core"
"158234"	0.973684210526316	16986	"TRMT10B"	-50.455	-81.91	-28.821	-27.497	-8.1	NA	-16.018	0	"nonfitness"
"63928"	0.973170731707317	16985	"CHP2"	-89.854	-52.084	-17.709	-41.375	-10.922	-11.603	-15.203	0	"nonfitness"
"30817"	0.9725	16984	"EMR2"	-105.896	-98.128	-12.52	-42.899	-14.602	-8.101	-32.658	0	"nonfitness"
"26160"	0.97125	16983	"IFT172"	-120.264	-36.981	-9.261	-36.177	-19.275	-7.431	-1.915	0	"nonfitness"
"55222"	0.971134020618557	16982	"LRRC20"	-68.13	-27.81	-7.679	-28.152	-19.168	-19.222	NA	0	"nonfitness"
"4051"	0.970967741935484	16981	"CYP4F3"	-83.252	-36.229	-11.266	-28.438	-5.656	-4.084	-13.016	0	"nonfitness"
"54764"	0.969767441860465	16980	"ZRANB1"	31.745	-67.353	15.107	10.072	-17.437	-6.96	-24.477	3	"core"
"55088"	0.967272727272727	16979	"C10orf118"	-83.67	-41.828	-34.452	-18.584	-21.576	15.89	NA	0	"nonfitness"
"6123"	0.967058823529412	16978	"RPL3L"	-83.634	16.733	-32.234	-27.603	-3.145	-1.996	-41.566	1	"fitness"
"388564"	0.966129032258065	16977	"TMEM238"	-38.619	-10.24	1.908	-39.099	-12.198	-2.964	NA	0	"nonfitness"
"441549"	0.965555555555556	16976	"CDNF"	-25.466	-10.872	-11.825	-15.077	-2.375	-11.775	-15.695	0	"nonfitness"
"4143"	0.964948453608247	16975	"MAT1A"	-97.474	-65.831	-28.629	-17.802	-22.4	-0.763	-14.802	0	"nonfitness"
"6519"	0.964301230992035	16974	"SLC3A1"	-153.402	-88.005	-31.846	-42.909	-21.601	-16.963	-41.835	0	"nonfitness"
"55033"	0.964210526315789	16973	"FKBP14"	-118.968	-51.351	-15.325	-58.435	-16.382	-5.262	-41.336	0	"nonfitness"
"10653"	0.963291139240506	16972	"SPINT2"	-93.579	-66.683	-29.619	-41.193	-2.048	-4.212	6.53	0	"nonfitness"
"55176"	0.960909090909091	16971	"SEC61A2"	-91.544	-37.578	-20.4	-28.507	-7.348	-1.954	NA	0	"nonfitness"
"54749"	0.960416666666667	16970	"EPDR1"	-119.592	-62.621	-33.836	-55.885	-20.839	-12.055	-12.858	0	"nonfitness"
"53828"	0.96	16969	"FXYD4"	-24.893	21.23	-19.736	-17.086	-8.637	-15.248	-37.677	1	"fitness"
"414149"	0.959756097560976	16968	"ACBD7"	-9.709	-9.89	-6.508	2.473	-3.649	-9.37	NA	0	"nonfitness"
"414235"	0.959633027522936	16967	"PRR26"	-81.109	-59.522	-32.97	-53.449	-18.294	NA	NA	0	"nonfitness"
"6296"	0.959523809523809	16966	"ACSM3"	-58.324	-58.426	-21.772	-39.796	-4.276	-8.198	-31.495	0	"nonfitness"
"50700"	0.958823529411765	16965	"RDH8"	-130.401	-80.218	-36.94	-43.885	-12.499	NA	-30.879	0	"nonfitness"
"401647"	0.958024691358025	16964	"GOLGA7B"	-47.165	-22.236	-14.451	-25.747	-19.701	-9.957	-37.807	0	"nonfitness"
"1048"	0.956818181818182	16963	"CEACAM5"	-24.484	-28.116	-21.526	-29.941	-7.064	-3.695	-43.821	0	"nonfitness"
"4814"	0.956356670149774	16962	"NINJ1"	-62.384	-66.337	-28.374	-43.215	-14.985	-8.921	-32.457	0	"nonfitness"
"137209"	0.954545454545454	16961	"ZNF572"	-57.326	-52.532	-26.694	-42.429	-14.487	-2.09	-15.099	0	"nonfitness"
"5552"	0.953968253968254	16960	"SRGN"	-47.125	-18.754	-17.073	17.794	-6.904	-7.458	-26.064	1	"fitness"
"53358"	0.953333333333333	16959	"SHC3"	-27.67	-57.186	-27.574	-33.998	-16.569	-10.706	22.7	0	"nonfitness"
"3594"	0.953246753246753	16958	"IL12RB1"	-50.142	-40.341	-18.097	12.85	-5.635	-9.165	-8.819	1	"fitness"
"608"	0.952777777777778	16957	"TNFRSF17"	-10.045	18.916	-15.626	-24.572	2.108	-10.626	-23.792	1	"fitness"
"158131"	0.952577319587629	16956	"OR1Q1"	-44.865	-27.785	-4.871	3.514	-0.829	-5.955	NA	0	"nonfitness"
"55610"	0.952083333333333	16955	"CCDC132"	-76.296	-49.597	-4.451	-9.809	-3.981	6.152	-13.227	0	"nonfitness"
"10781"	0.950450450450451	16954	"ZNF266"	-60.245	-46.885	-26.864	-24.561	-13.025	-9.753	-7.782	0	"nonfitness"
"5588"	0.95	16953	"PRKCQ"	-84.841	-55.219	-26.806	-56.305	-13.571	-15.951	-6.555	0	"nonfitness"
"57146"	0.949333333333333	16952	"TMEM159"	-39.518	-24.276	-32.948	-41.945	-16.163	-6.439	-25.327	0	"nonfitness"
"25984"	0.94850640113798	16951	"KRT23"	-101.983	-38.866	-15.76	-35.654	-5.639	-2.065	NA	0	"nonfitness"
"2547"	0.947727272727273	16950	"XRCC6"	13.343	15.346	NA	NA	NA	7.268	-13.153	1	"fitness"
"6363"	0.947015232606011	16949	"CCL19"	-70.734	-31.338	-25.474	4.461	1.784	-7.901	-30.438	0	"nonfitness"
"51384"	0.946153846153846	16948	"WNT16"	-142.344	-76.82	-30.154	-50.298	-24.725	-13.623	NA	0	"nonfitness"
"4897"	0.944943820224719	16947	"NRCAM"	-86.892	-63.493	-15.061	-36.149	-14.023	-6.156	-23.856	0	"nonfitness"
"55388"	0.944155844155844	16946	"MCM10"	36.308	-14.847	22.883	19.177	32.419	7.193	NA	4	"core"
"400720"	0.943529411764706	16945	"ZNF772"	-49.804	-29.889	-4.881	-11.277	-14.315	-16.956	-19.419	0	"nonfitness"
"158135"	0.943434343434343	16944	"TTLL11"	-41.777	-36.963	-14.36	-51.291	-18.995	-5.007	-34.041	0	"nonfitness"
"5599"	0.942857142857143	16943	"MAPK8"	-56.737	-63.28	-33.759	-42.16	-17.421	-5.311	-11.449	0	"nonfitness"
"5143"	0.941666666666667	16942	"PDE4C"	-53.583	-37.405	4.639	-34.016	-2.185	-7.237	-17.925	1	"fitness"
"5720"	0.941463414634146	16941	"PSME1"	-102.297	-28.593	-31.413	-46.632	-16.473	-2.765	-32.798	0	"nonfitness"
"26154"	0.936764705882353	16940	"ABCA12"	-58.826	-70.112	-37.594	-4.254	-14.961	-13.289	-24.997	0	"nonfitness"
"472"	0.935844155844156	16939	"ATM"	-126.317	-64.601	-37.606	-56.642	5.013	8.482	-10.343	1	"fitness"
"3204"	0.935	16938	"HOXA7"	-32.48	-23.965	-2.354	-12.283	-1.301	-14.493	-6.043	0	"nonfitness"
"5146"	0.932727272727273	16937	"PDE6C"	-108.471	-59.879	-22.552	-9.685	-16.387	10.385	-27.256	0	"nonfitness"
"2791"	0.93	16936	"GNG11"	-17.082	-10.54	-6.188	-11.015	-0.691	2.556	-27.691	0	"nonfitness"
"5267"	0.928859060402685	16935	"SERPINA4"	-147.092	-89.953	-29.694	-37.961	-19.65	-11.786	-17.396	0	"nonfitness"
"5976"	0.928767123287671	16934	"UPF1"	288.836	106.391	98.113	100.166	40.444	6.151	-25.629	5	"core"
"158405"	0.928571428571429	16933	"KIAA1958"	-151.182	-62.79	-38.389	-53.151	-16.864	-12.78	-19.033	0	"nonfitness"
"51207"	0.928089887640449	16932	"DUSP13"	-100.961	-60.779	-10.894	-11.891	-17.806	-26.225	-4.241	0	"nonfitness"
"5662"	0.9275	16930	"PSD"	-52.004	-40.259	-11.677	-17.591	-14.584	-9.095	NA	0	"nonfitness"
"6187"	0.9275	16930	"RPS2"	123.875	55.18	46.881	53.033	20.768	3.556	-6.409	5	"core"
"55013"	0.927027027027027	16929	"CCDC109B"	-59.347	-23.575	-14.819	-30.245	-14.355	-7.564	-18.343	0	"nonfitness"
"200558"	0.925263157894737	16928	"APLF"	-65.766	-67.664	-4.653	-42.395	-17.467	-0.523	-19.746	0	"nonfitness"
"5309"	0.923863636363636	16927	"PITX3"	0.825	-47.209	-15.467	-47.491	-15.42	-16.733	-7.45	0	"nonfitness"
"5309"	0.923863636363636	16927	"PTX3"	-81.754	-23.62	-15.391	-27.187	-13.144	-15.736	-26.515	0	"nonfitness"
"1052"	0.9225	16926	"CEBPD"	-15.439	-4.187	-7.516	-22.34	5.618	-4.348	-29.41	1	"fitness"
"6376"	0.922340425531915	16925	"CX3CL1"	-27.085	0.776	-27.679	-47.238	-6.654	-18.585	-23.736	0	"nonfitness"
"51021"	0.920408163265306	16924	"MRPS16"	-5.348	-3.418	23.103	5.877	-4.288	6.328	-3.148	1	"fitness"
"158055"	0.918844984802432	16923	"C9orf163"	-32.379	-21.894	-16.336	-57.752	-20.38	-6.682	NA	0	"nonfitness"
"222008"	0.917874203821656	16922	"VSTM2A"	-147.027	-91.448	-24.856	-58.497	-17.152	-11.127	-30.186	0	"nonfitness"
"55072"	0.916279069767442	16921	"RNF31"	-88.275	-69.871	-30.196	-39.703	-21.451	4.728	NA	0	"nonfitness"
"55024"	0.915384615384615	16920	"BANK1"	-94.98	-68.756	-23.445	-10.605	-17.054	-7.038	-24.316	0	"nonfitness"
"55837"	0.914473684210526	16919	"EAPP"	-89.131	30.265	-0.645	-13.981	2.165	8.649	-26.084	1	"fitness"
"51699"	0.913424947145877	16918	"VPS29"	54.214	-26.322	12.815	4.909	2.207	-4.63	-7.947	2	"fitness"
"399818"	0.9125	16917	"METTL10"	-12.016	-5.694	NA	NA	NA	-12.185	-41.333	0	"nonfitness"
"79674"	0.911609756097561	16916	"VEPH1"	-136.809	-62.384	-31.639	-51.95	-19.283	-1.671	-22.712	0	"nonfitness"
"55860"	0.911428571428571	16915	"ACTR10"	160.767	58.118	55.063	61.156	19.928	5.112	15.798	5	"core"
"54906"	0.910909090909091	16914	"FAM208B"	-101.148	-66.977	-33.687	-37.001	-23.758	-7.324	NA	0	"nonfitness"
"4946"	0.91	16913	"OAZ1"	-33.294	-38.662	3.878	-30.051	-5.102	-12.93	-15.214	1	"fitness"
"55148"	0.908333333333333	16912	"UBR7"	-60.878	-62.074	-32.015	-44.426	-16.378	9.04	-35.194	0	"nonfitness"
"7351"	0.90741935483871	16911	"UCP2"	-63.416	10.288	-28.889	2.938	-16.152	-10.431	-30.894	0	"nonfitness"
"403"	0.907407407407407	16910	"ARL3"	-27.434	-37.001	5.292	-12.263	-8.877	-4.25	-19.787	1	"fitness"
"56890"	0.907352941176471	16909	"MDM1"	-80.823	-30.878	-19.947	6.101	-16.759	-7.487	-16.314	0	"nonfitness"
"10298"	0.906410256410256	16908	"PAK4"	-49.105	-39.099	-28.108	-15.261	-12.788	-12.888	-13.534	0	"nonfitness"
"6299"	0.90546875	16907	"SALL1"	-148.34	-32.909	18.706	-46.162	-15.712	-16.052	-38.982	1	"fitness"
"54788"	0.904545454545455	16906	"DNAJB12"	-39.929	-16.538	-7.748	-1.906	-16.524	-9.21	-28.65	0	"nonfitness"
"51063"	0.904366812227074	16905	"CALHM2"	-111.719	-72.424	-24.665	-36.246	-19.583	-0.733	NA	0	"nonfitness"
"54518"	0.903557814485388	16904	"APBB1IP"	-73.052	-38.391	-27.229	-51.621	-10.639	5.999	-34.503	0	"nonfitness"
"5713"	0.903125	16903	"PSMD7"	58.496	25.961	15.397	29.253	12.111	21.668	46.78	5	"core"
"1652"	0.902906976744186	16902	"DDT"	13.687	-16.689	-5.945	-4.682	-3.252	-8.29	NA	1	"fitness"
"925"	0.902191780821918	16901	"CD8A"	-112.357	-65.173	-35.504	-25.47	-19.079	-10.452	-34.801	0	"nonfitness"
"925"	0.902191780821918	16901	"MAL"	-90.478	-58.208	1.961	-39.612	-15.776	-8.526	-15.561	0	"nonfitness"
"22917"	0.9	16896	"ZP1"	-107.271	-58.097	-32.507	-30.918	-3.672	-8.861	-15.335	0	"nonfitness"
"3206"	0.9	16896	"HOXA10"	-65.225	-36.93	-2.591	-11.164	-3.976	-10.514	-6.999	0	"nonfitness"
"5532"	0.9	16896	"PPP3CB"	-111.108	-67.557	-9.749	-7.476	-13.679	-5.048	-16.69	0	"nonfitness"
"566"	0.9	16896	"AZU1"	-54.685	-34.605	-22.854	-41.546	-20.177	-10.401	-2.843	0	"nonfitness"
"6645"	0.9	16896	"SNTB2"	-85.75	-49.55	-26.423	-53.273	-10.524	-5.512	-25.094	0	"nonfitness"
"28959"	0.899236641221374	16895	"TMEM176B"	-138.371	-96.283	-28.65	-51.184	-15.055	-7.579	NA	0	"nonfitness"
"30846"	0.898837209302326	16894	"EHD2"	-85.201	-51.773	-5.96	7.323	-12.477	-37.798	-9.123	1	"fitness"
"5592"	0.898809523809524	16893	"PRKG1"	-101.983	-64.734	-13.485	-34.081	-14.15	-4.101	-25.854	0	"nonfitness"
"10661"	0.89875	16892	"KLF1"	-34.807	52.567	-7.782	-24.789	-2.86	-2.192	-8.405	1	"fitness"
"64063"	0.898039215686275	16891	"PRSS22"	-135.821	-30.851	-23.795	-12.886	-8.136	-14.735	-10.452	0	"nonfitness"
"4849"	0.896153846153846	16890	"CNOT3"	83.222	62.516	53.973	97.876	40.528	11.511	16.067	5	"core"
"3309"	0.895107794361526	16889	"HSPA5"	59.662	103.567	23.468	26.642	2.083	17.097	-1.635	4	"core"
"10933"	0.894871794871795	16888	"MORF4L1"	-5.657	-40.024	-14.993	-29.847	-6.373	35.053	-3.839	0	"nonfitness"
"57662"	0.892380952380952	16887	"CAMSAP3"	-97.898	-61.724	-26.5	-32.366	-17.083	-1.515	NA	0	"nonfitness"
"5660"	0.892	16886	"PSAP"	-77.394	-42.363	-14.675	-9.538	-15.988	-13.082	-10.425	0	"nonfitness"
"79778"	0.891133720930233	16885	"MICALL2"	-129.375	-41.458	12.725	4.936	-10.481	-8.028	5.265	1	"fitness"
